,0
Gunn PA,1
Mitty AK,1
Gunn TT,0.82
Bell FU,0.818181818
Gunn AS,0.814814815
James Logan MB,0.8
Bell DM,0.785714286
Leland GL,0.777777778
Bell SS,0.75
Leland WP,0.75
Bell KN,0.75
Mitty PL,0.75
Gunn WF,0.75
St. Francis VS,0.75
Gunn XS,0.75
St. Francis AM,0.75
Gunn JN,0.75
Leland ZK,0.75
Leland ZL,0.75
Bell JT,0.75
Gunn LX,0.75
Gunn DO,0.75
Gunn LC,0.75
Gunn TS,0.75
Mitty MP,0.75
Leland CS,0.75
Gunn PM,0.75
Leland KL,0.75
Bell US,0.75
Gunn SuAr,0.75
St. Francis SV,0.75
Gunn PH,0.740740741
Gunn JS,0.727272727
Gunn XW,0.703703704
Bell HM,0.7
Gunn SX,0.695652174
Bell VR,0.68852459
Bell BV,0.6875
Leland LP,0.681818182
Bell YR,0.675675676
Bell YK,0.666666667
Mitty DR,0.666666667
Bell TJ,0.652173913
Mitty GR,0.65
Gunn PJ,0.648648649
Bell CD,0.642857143
Mitty PA,0.64
Gunn WX,0.631578947
Bell SM,0.631578947
Mitty SS,0.630769231
Saratoga NK,0.625
King's BS,0.625
Mitty TK,0.625
Bell FK,0.625
Gunn KF,0.625
Mitty BP,0.622222222
Leland ZT,0.608695652
James Logan LM,0.6
Mitty ZU,0.6
Clovis North KS,0.6
James Logan FS,0.6
Dougherty Valley KB,0.6
Clovis North MP,0.6
Leland XZ,0.6
Mira Loma YK,0.6
Leland AG,0.592592593
Leland KD,0.583333333
Bell CA,0.576923077
Mitty GuCh,0.5625
Leland DR,0.555555556
Gunn SM,0.555555556
Mitty JK,0.545454545
King's GW,0.545454545
Gunn SA,0.545454545
Leland LK,0.526315789
Gunn PC,0.520833333
Gunn LM,0.518518519
Saratoga HL,0.5
Saratoga VK,0.5
Gunn HJ,0.5
Bell XP,0.5
Gunn GM,0.5
Bell MC,0.5
Mitty SN,0.5
Leland ZP,0.5
Leland ZO,0.5
Leland ZC,0.5
Leland TC,0.5
King's CC,0.5
Saratoga WL,0.5
Silver Creek SP,0.5
Leland ZZ,0.5
Mitty GoCa,0.5
Silver Creek TN,0.5
Gunn SO,0.5
St. Francis PV,0.5
Bell CP,0.5
Leland KZ,0.5
Bell AX,0.5
Leland KT,0.5
Leland CM,0.5
Bell PZ,0.5
Bell FF,0.5
Silver Creek VR,0.5
St. Francis KS,0.5
Bell GR,0.5
Lynbrook ZA,0.5
St. Francis SG,0.5
Gunn MS,0.5
Leland PW,0.5
Gunn MH,0.5
Bell GF,0.5
Leland PZ,0.5
Presentation GP,0.5
Leland AS,0.5
Mitty KK,0.48
Bell PR,0.476190476
Gunn GK,0.470588235
Leland CA,0.466666667
Gunn HW,0.452380952
Silver Creek RV,0.45
Bell YH,0.444444444
Mitty VC,0.444444444
Gunn KG,0.444444444
Bell IG,0.444444444
Lynbrook AZ,0.428571429
Mitty AA,0.416666667
Bell ZL,0.416666667
St. Francis PS,0.416666667
Leland CW,0.416666667
Presentation RA,0.413793103
Dougherty Valley MK,0.4
James Logan LS,0.4
Gunn OL,0.4
Bell TP,0.4
Leland ZS,0.4
St. Francis KP,0.4
Granite Bay GW,0.4
Gunn NS,0.4
Stockdale RS,0.4
Mitty UZ,0.4
Silver Creek CG,0.388888889
Silver Creek OK,0.375
Silver Creek KO,0.375
Leland PS,0.375
Gunn LK,0.375
Leland CX,0.375
King's JK,0.375
Mitty IC,0.333333333
Gunn GX,0.333333333
Silver Creek LK,0.333333333
St. Francis KD,0.333333333
Leland PK,0.305555556
Silver Creek TV,0.3
Cristo Rey FF,0.3
Silver Creek JS,0.290909091
Downtown College Prep AM,0.285714286
Silver Creek KL,0.263157895
Silver Creek GG,0.260869565
Leland ZW,0.25
Leland LC,0.25
Gunn GN,0.25
Kipp San Jose Collegiate RP,0.25
Leland SM,0.25
Bell JK,0.25
Gunn JX,0.25
